"Export Settings","Export Settings"
"Choose the website to export these orders","Selecione o website a serem exportados os pedidos "
"Run Export CSV","lançar exportação em CSV"
"Yes","Sim"
"No","Não"
"Until","até"
"1 week","1 semana"
"2 weeks","2 semanas"
"1 month","1 mês"
"2 months","2 meses"
"3 months","3 meses"
"4 months","4 meses"
"5 months","5 meses"
"6 months","6 meses"
"7 months","7 meses"
"8 months","8 meses"
"9 months","9 meses"
"10 months","10 meses"
"11 months","11 meses"
"12 months","12 meses"
"Request product\'s review?","Pedido opinião produto\'s ?"
"Verified Reviews Tabs","Opiniões Verificadas Tabela"
"Export","Export"
"Verified Reviews Form","Opiniões Verificadas Forma"
"version","versão"
"Form","Forma"
"VerifiedReviews","OpiniõesVerificadas"
"Management","Management"
"Configuration","Configuração"
"Check Installation","Verifique Instalação"
"You must set the configuration VerifiedReviews according to a website module. Select from the list on the left, the website that you want to set.","Você deve definir a configuração Opiniões Verificadas de acordo com módulo do website. Selecione na lista à esquerda o site que deseja configurar"
"System integration","Sistema de integração"
"Enable Module on this Website","Ativa módulo nesse Website"
"By activating the module, you will reap your reviews sites. To harvest the products reviews, go to the last part of the configuration.","Ao ativar o módulo , você ira coletar as opiniões referentes ao site. Para obter as opiniões dos produtos, va¡ até a última parte da configuração"
"IdWebsite","IdWebsite"
"Secret Key","Chave Secreta"
"Status","Status"
"Number of reviews","Número de opiniões"
"Average rating","Média das notas"
"View the trust certificate","Exibir o selo de confiança"
"More Reviews","Mais opiniões"
"Product Reviews","Opiniões dos produtos"
"There are no reviews.","Não há opiniões para este produto."
"the","O"
"d/m/Y","d/m/Y"
"Comments of","Comentários do"
"Webmaster","Loja"
"Moderator","Comprador"
"on","em"
"Show conversation","Exibir a conversa"
"Hide conversation","Não exibir a conversa"
"%d Review(s)","%d Opinião(ões)"
"%d Review","%d Opinião"
"%d Reviews","%d Opiniões"
"See the review(s)","Vere a(s) opinião(ões)"
"Based on %d customer reviews","Baseado em %d opiniões de clientes"
"Was this review helpful?","Esta opinião foi útil?"
"Sort reviews by:","Classifique as opiniões por:"
"Newest first","Mais recente"
"Oldest first","Mais antigo"
"Highest rating","Maior avaliação"
"Lowest rating","Menor avaliação"
"The most helpful","O mais útil"
"Anonymous A.","Cliente anônimo"
"Anonymous a.","Cliente anônimo"
"anonymous a.","Cliente anônimo"
"anonymous A.","Cliente anônimo"
"anonymous  .","Cliente anônimo"
"anonymous  ","Cliente anônimo"
"anonymous","Cliente anônimo"
"Anonymous  .","Cliente anônimo"
"Anonymous  ","Cliente anônimo"
"Anonymous","Cliente anônimo"
"Use product url in product list stars link","Use o URL do produto na lista de produtos link de estrelas"
"Select Yes to redirect to the product page instead to redirect to the reviews page.","Selecione Sim para redirecionar para a página do produto em vez disso para redirecionar para a página de comentários."
"Add reviews to product page","Adicionar comentários à página do produto"
"This configuration is used to add the product reviews block to the product page.","Esta configuração é usada para adicionar o bloco de comentários do produto à página do produto."
"Add review helpful button?","dicionar um botão útil à avaliação?"
"This option allow to add the helpful review button below each product review.","Esta configuração é usada para adicionar o botão de avaliação útil abaixo de cada opinião do produto."
"Use the product light widget","Use o widget da luz do produto"
"Use this configuration to change the type of product widget to small design.","Use esta configuração para alterar o tipo de widget do produto para design pequeno."
"jQuery is present on the website?","jQuery está presente no site?"
"Change to Yes if jQuery is used in the website.","Mude para Sim se jQuery for usado no site."
"Show 'No product reviews' message","Mostrar não há comentários sobre produtos mensagem"
"This configuration is used to tell our module to show a 'No product reviews' message.","Esta configuração é usada para indicar ao nosso módulo que mostre uma mensagem nenhuma revisão de produto."
"Use parent products data instead simple products data","Use dados de produtos originais em vez de dados de produtos simples"
"Select Yes to get the parent product id and the parent product image.","Selecione sim para obter o ID do produto original e a imagem do produto pai."
"Enable Rich-Snipets in the product page?","Habilitar Rich-Snipets na página do produto?"
"This configuration is used to add Rich-Snippets on your product page, please note that this feature may go into conflict with your integration of Rich-Snippets.","Esta configuração é usada para adicionar Rich-Snippets na página do seu produto, observe que esse recurso pode entrar em conflito com a integração de Rich-Snippets."
"Use product SKU instead the product ID","Use o produto SKU em vez da ID do produto"
"This configuration is used to identify product by their sku instead of their sql ids.","Esta configuração é usada para identificar o produto pelo seu sku em vez de seus IDs SQL."
"Get product parent IDs","Obter IDs de pais do produto"
"This configuration is used to tell the module to only get the parent id of the child id.","Esta configuração é usada para indicar ao módulo que apenas obtenha o ID pai do ID filho."
"Use Default","Use o padrão"
"Use Website","Use o site"
"[STORE VIEW]","[VISTA DE LOJA]"
"Number of product reviews to display:","Número de comentários de produtos a serem exibidos:"
"Choose the number of product reviews that you want to display by default.","Escolha o número de avaliações de produtos que deseja exibir por padrão."
"Thank you, your vote will be published soon.","Obrigado, seu voto será publicado em breve."
"Something went wrong.","Algo deu errado."
"Use tiny responsive design in product reviews?","Use tiny responsive design in product reviews?"
"This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px.).","This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px.)."
