"Algolia Search Products", "Procurar Produtos"
"Rebuild products.", "Reconstruir Produtos."
"Algolia Search Categories", "Procurar Categorias"
"Rebuild categories.", "Reconstruir Categorias"
"Algolia Search Pages", "Algolia Procurar Páginas"
"Rebuild pages.", "Reconstruir Páginas"
"Algolia Search Suggestions", "Algolia Procurar Sugestões"
"Rebuild suggestions.", "Reconstruir Sugestões"
"Rebuild additional sections.", "Reconstruir Seções Adicionais."
"Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration", "Por favor, ative o sistema de filas para fazê-lo de forma assíncrona (CRON) se você tiver muitos produtos em System > Configuration > Algolia Search > Queue configuration"
"Algolia Search Queue Runner", "Algolia Search Queue Runner"
"Process the queue if enabled. This allow to run jobs in the queue", "Processe a fila, se ativada. Isso permite executar trabalhos na fila"
"Section", "Seção"
"Label", "Label"
"Hits per page", "Acessos por página"
"Add Section", "Adicionar Seção"
"Attribute", "Atributo"
"Searchable", "Pesquisável"
"Retrievable", "Recuperável"
"Ordered", "Ordenado"
"Add Attribute", "Adicionar Atributo"
"Asc / Desc", "Crescente / Decrescente"
"Add Ranking Criterion", "Adicionar critério de classificação"
"Facet type", "Tipo de Faceta"
"Add Facet", "Adicionar Faceta"
"Sort", "Ordenar"
"Add Sorting Attribute", "Adicionar atributo de ordenação"
"Pages", "Páginas"
"Add Excluded Page", "Adicionar página excluída"
"Search by", "Pesquisar por"
"Search for products, categories, ...", "Busque pelo nome do produto ou marca"
"Search:", "Procurar:"
"in", "em"
"Categories", "Categorias"
"Products", "Produtos"
"Refine", "Refinar"
"Current search", "Pesquisa atual"
"Search for products", "Procurar por produtos"
"SORT BY", "Ordene Por: "
"Add to Cart", "Adicionar ao Carrinho"
"result found", "resultado encontrado"
"results found", ""
"out of", "de"
"seconds", "segundos"
"Relevance", "Relevância"
"No products for query", "Nenhum produto para a pesquisa"
"You can try one of the popular search queries", "Você pode tentar um dos termos de pesquisa mais populares"
"or", "ou"
"See all products", "Ver todos os produtos"
"Selected Filters", "Filtrar"
"Clear all", "Limpar tudo"
"Previous page", "Página anterior"
"Next page", "Próxima página"
"to", "para"
"Go", "Ir"
"No results", "Sem resultados"
"All departments", "Todos os departamentos"
"See products in", "Ver produtos em"
"or in", "ou em"
"Base Image", "Imagem padrão"
"Small Image", "Imagem pequena"
"Thumbnail", "Thumbnail"
"None", "Nenhum"
"AllOptional", "AllOptional"
"LastWords", "LastWords"
"FirstWords", "FirstWords"
"Synonyms (comma-separated)", "Sinônimos (separados por vírgulas)"
"Add Synonyms", "Adicionar Sinônimo"
"Add One-way Synonyms", "Adicionar sinônimos unidirecionais"
"Input", "Entrada"
"Synonyms", "Sinônimos"
"One-way Synonyms", "Sinônimos unidirecionais"
"Synonyms File", "Arquivo de sinônimos"
"Search for other ...","Pesquisar por outro ..."
